Tavba Ë.;Sur. Fe - Akosù;02 - Skut. mnoû. (Nm3);02 - Trv. f˙k. (s);Sur. Fe - Teplota (∞C);Sur. Fe - Hmotnosù (kg);C - Konc. v Fe (%);Si - Konc. v sur. Fe (%);Mn - Konc. v sur. Fe (%);P - Konc. v sur. Fe (%);S - Konc. v sur. Fe (%);Ti - Konc. v sur. Fe (%);ärot v·ha (kg);V˝öka k˙peæa (m);CaO - V·ha (kg);Dol. v·p. - V·ha (kg);MgCO3 - V·ha (kg);Bazicita tav.;Pomer CaO / SiO2;Fe - Mn. v troske (% hm.);MgO - Mn. v troske (% hm.);Cr - Mn. v oceli (%);Fe - V·ha v sur. Fe (kg);02 - Dofuk mn. (Nm3)
67;589;8606.078;1054;1343.455;146700;4.482;0.851;0.436;0.054;0.013;0.028;44800;9.53;7025;4494;1093;3.7;3.094;19.99;9.5;0.017;147100;0
68;959;8606.556;1059;1330.997;144800;4.595;0.709;0.322;0.044;0.009;0.023;47200;9.54;7510;3849;0;3.5;2.978;19.15;8.99;0.022;145500;0
69;959;8307.725;1015;1327.64;148000;4.58;0.57;0.39;0.053;0.008;0.019;42600;9.59;6615;3344;853;3.6;3.166;19.64;8.55;0.02;149500;0
70;959;8333.9;1050;1351.302;143101;4.609;0.728;0.425;0.057;0.009;0.025;47700;9.59;7337;3956;0;3.7;3.021;18.84;11.54;0.019;144100;613.198
71;959;8290.814;1027;1327.827;146401;4.547;0.46;0.381;0.05;0.008;0.014;44900;9.59;6641;3144;0;3.5;2.829;19.16;11.12;0.02;147400;0
72;959;8208.7;1009;1338.998;145400;4.392;0.574;0.385;0.053;0.008;0.019;46800;9.6;6228;3319;0;3.6;3.179;17.12;8.17;0.021;146000;758.434
73;959;8100.425;1013;1337.715;144400;4.204;0.928;0.405;0.055;0.007;0.032;47500;9.61;6227;4281;639;3.7;3.202;18.06;9.63;0.022;144600;0
74;959;8301.267;1022;1373.647;143301;4.47;0.974;0.367;0.052;0.008;0.034;47400;9.6;6373;4410;1374;3.6;3.202;16.89;8.15;0.03;144300;0
75;138;8174.424;994;1310.332;144000;4.506;0.828;0.301;0.048;0.003;0.027;46800;9.6;6400;3756;0;3.7;3.28;17.8;8.39;0.023;144500;615.001
76;794;8122.75;1013;1350.588;143900;4.328;0.73;0.348;0.053;0.013;0.025;43800;9.57;5164;3648;0;4.1;3.523;16.69;9.96;0.025;147700;0
77;794;8414.908;1039;1344.515;144900;4.517;0.765;0.337;0.05;0.013;0.025;41100;9.55;5542;3828;555;3.4;2.913;17.75;9.59;0.024;148300;730.838
78;794;8264.426;1021;1363.357;144501;4.574;0.798;0.41;0.055;0.013;0.028;43100;9.57;5550;3901;0;3.8;3.158;18.09;10.52;0.024;145500;0
79;794;8085.501;1013;1346.649;155700;4.6;0.555;0.305;0.052;0.014;0.019;35900;9.59;4527;3242;474;4;3.289;18.12;11.4;0.028;156100;0
80;794;8094.001;975;1296.104;153600;4.197;0.442;0.259;0.047;0.013;0.009;35100;9.58;4520;2986;0;3.7;3.036;13.33;12.54;0.018;155200;0
81;684;8045.935;1003;1322.977;149900;4.609;0.606;0.26;0.052;0.003;0.016;40200;9.6;5524;3247;0;3.6;3.011;15.95;10.53;0.017;150800;656.625
82;684;7832.373;947;1369.139;147500;4.485;0.725;0.375;0.051;0.003;0.026;42000;9.6;5577;3454;0;3.9;3.296;18.47;9.9;0.027;148500;0
83;684;7847.175;952;1317.984;150800;4.434;0.476;0.347;0.052;0.003;0.017;36800;9.59;5523;3157;0;3.8;3.224;15.14;10.6;0.024;152100;0
84;684;7878.829;955;1392.936;146000;4.569;0.729;0.419;0.057;0.004;0.025;43100;9.59;5534;3500;478;3.7;3.124;15.47;10.99;0.024;147500;0
85;592;8134.123;1012;1344.445;143300;4.597;0.954;0.401;0.064;0.014;0.035;45500;9.58;6353;4427;1095;3.6;3.063;18.78;9.42;0.03;145600;0
86;592;7715.308;953;1335.204;147300;4.367;0.476;0.247;0.048;0.014;0.011;39400;9.57;4517;2976;0;3.7;3.165;17.67;9.81;0.024;150500;735.521
87;592;7828.722;969;1367.772;139500;4.3;0.8;0.3;0.06;0.013;0.02;48300;9.58;6262;3648;0;3.6;3.078;14.97;10.05;0.031;143000;0
